url	Date	Player Name	Postion	Team	Team_ID	Transaction_description
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# BJ_McBryde2016-1-19Reserve/Future	2016-1-19	BJ McBryde	DE	greenbaypackers	GB	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Ben_Beckwith2016-1-01Waived,_No_Recall	2016-1-01	Ben Beckwith	G	sandiegochargers	SD	Waived, No Recall	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Ben_Gardner2016-1-04Reserve/Future	2016-1-04	Ben Gardner	DE	sandiegochargers	SD	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Ben_Gottschalk2016-1-05Reserve/Future	2016-1-05	Ben Gottschalk	C	tampabaybuccaneers	TB	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Ben_Heenan2016-1-05Reserve/Future	2016-1-05	Ben Heenan	G	indianapoliscolts	IND	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Ben_Koyack2016-1-04Reserve/Future	2016-1-04	Ben Koyack	TE	jacksonvillejaguars	JAX	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Ben_Malena2016-1-04Reserve/Future	2016-1-04	Ben Malena	RB	dallascowboys	DAL	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Bennie_Logan2016-1-02Reserve/Injured	2016-1-02	Bennie Logan	NT	philadelphiaeagles	PHI	Reserve/Injured	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Blaine_Clausell2016-1-04Reserve/Future	2016-1-04	Blaine Clausell	T	baltimoreravens	BAL	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Blake_Annen2016-1-04Reserve/Future	2016-1-04	Blake Annen	TE	buffalobills	BUF	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Blake_Renaud2016-1-11Reserve/Future	2016-1-11	Blake Renaud	RB	minnesotavikings	MIN	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Brad_Sorensen2016-1-04Reserve/Future	2016-1-04	Brad Sorensen	QB	sandiegochargers	SD	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Brandon_Bostick2016-1-05Reserve/Future	2016-1-05	Brandon Bostick	TE	newyorkjets	NYJ	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Brandon_Cottom2016-1-18Reserve/Future	2016-1-18	Brandon Cottom	RB	seattleseahawks	SEA	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Brandon_Dixon2016-1-05Reserve/Future	2016-1-05	Brandon Dixon	DB	neworleanssaints	NO	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Brandon_Hepburn2016-1-04Reserve/Future	2016-1-04	Brandon Hepburn	LB	philadelphiaeagles	PHI	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Brandon_McGee2016-1-04Reserve/Future	2016-1-04	Brandon McGee	DB	dallascowboys	DAL	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Brandon_Thompson2016-1-06Reserve/Injured	2016-1-06	Brandon Thompson	DT	cincinnatibengals	CIN	Reserve/Injured	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Brennen_Beyer2016-1-04Reserve/Future	2016-1-04	Brennen Beyer	LB	baltimoreravens	BAL	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Brett_Boyko2016-1-04Reserve/Future	2016-1-04	Brett Boyko	OT	philadelphiaeagles	PHI	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Brian_Mihalik2016-1-20Reserve/Future	2016-1-20	Brian Mihalik	DE	philadelphiaeagles	PHI	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Brock_Vereen2016-1-25Reserve/Future	2016-1-25	Brock Vereen	FS	newenglandpatriots	NE	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Bryan_Witzmann2016-1-05Reserve/Future	2016-1-05	Bryan Witzmann	T	neworleanssaints	NO	Reserve/Future	
