task_type	task_name	url	description	tag	external_id	external_id_old
/common/topic	Atlanta Hawks waived guard Jason Richardson.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Atlanta Hawks waived guard Jason Richardson. # Transaction_Date: 2015-09-25 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150925#Waive 946185#Atlanta Hawks waived guard Jason Richardson.	20150925#Waive 946185 #1610612737.0#Atlanta Hawks waived guard Jason Richardson.
/common/topic	Atlanta Hawks waived guard Terran Petteway.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Atlanta Hawks waived guard Terran Petteway. # Transaction_Date: 2015-10-22 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20151022#Waive 957767#Atlanta Hawks waived guard Terran Petteway.	20151022#Waive 957767 #1610612737.0#Atlanta Hawks waived guard Terran Petteway.
/common/topic	Boston Celtics re-signed forward Jae Crowder to a Contract.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics re-signed forward Jae Crowder to a Contract. # Transaction_Date: 2015-07-27 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150727#Signing 945515#Boston Celtics re-signed forward Jae Crowder to a Contract.	20150727#Signing 945515 #1610612738.0#Boston Celtics re-signed forward Jae Crowder to a Contract.
/common/topic	Boston Celtics re-signed forward Jonas Jerebko to a Contract.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics re-signed forward Jonas Jerebko to a Contract. # Transaction_Date: 2015-07-09 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150709#Signing 945022#Boston Celtics re-signed forward Jonas Jerebko to a Contract.	20150709#Signing 945022 #1610612738.0#Boston Celtics re-signed forward Jonas Jerebko to a Contract.
/common/topic	Boston Celtics re-signed forward Jordan Mickey to a Contract.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics re-signed forward Jordan Mickey to a Contract. # Transaction_Date: 2015-07-19 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150719#Signing 945298#Boston Celtics re-signed forward Jordan Mickey to a Contract.	20150719#Signing 945298 #1610612738.0#Boston Celtics re-signed forward Jordan Mickey to a Contract.
/common/topic	Boston Celtics re-signed guard RJ Hunter to a Rookie Scale Contract.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics re-signed guard RJ Hunter to a Rookie Scale Contract. # Transaction_Date: 2015-07-27 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150727#Signing 945528#Boston Celtics re-signed guard RJ Hunter to a Rookie Scale Contract.	20150727#Signing 945528 #1610612738.0#Boston Celtics re-signed guard RJ Hunter to a Rookie Scale Contract.
/common/topic	Boston Celtics re-signed guard Terry Rozier to a Rookie Scale Contract.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics re-signed guard Terry Rozier to a Rookie Scale Contract. # Transaction_Date: 2015-07-27 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150727#Signing 945527#Boston Celtics re-signed guard Terry Rozier to a Rookie Scale Contract.	20150727#Signing 945527 #1610612738.0#Boston Celtics re-signed guard Terry Rozier to a Rookie Scale Contract.
/common/topic	Boston Celtics received draft consideration from Miami Heat.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics received draft consideration from Miami Heat. # Transaction_Date: 2015-07-27 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150727#Trade 2015015#Boston Celtics received draft consideration from Miami Heat.	20150727#Trade 2015015 #1610612738.0#Boston Celtics received draft consideration from Miami Heat.
/common/topic	Boston Celtics received draft consideration from Oklahoma City Thunder.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics received draft consideration from Oklahoma City Thunder. # Transaction_Date: 2015-07-14 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150714#Trade 2015011#Boston Celtics received draft consideration from Oklahoma City Thunder.	20150714#Trade 2015011 #1610612738.0#Boston Celtics received draft consideration from Oklahoma City Thunder.
/common/topic	Boston Celtics received forward David Lee from Golden State Warriors.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics received forward David Lee from Golden State Warriors. # Transaction_Date: 2015-07-27 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150727#Trade 2015016#Boston Celtics received forward David Lee from Golden State Warriors.	20150727#Trade 2015016 #1610612738.0#Boston Celtics received forward David Lee from Golden State Warriors.
/common/topic	Boston Celtics received forward Perry Jones III from Oklahoma City Thunder.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics received forward Perry Jones III from Oklahoma City Thunder. # Transaction_Date: 2015-07-14 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150714#Trade 2015011#Boston Celtics received forward Perry Jones III from Oklahoma City Thunder.	20150714#Trade 2015011 #1610612738.0#Boston Celtics received forward Perry Jones III from Oklahoma City Thunder.
/common/topic	Boston Celtics received guard Zoran Dragic from Miami Heat.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics received guard Zoran Dragic from Miami Heat. # Transaction_Date: 2015-07-27 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150727#Trade 2015015#Boston Celtics received guard Zoran Dragic from Miami Heat.	20150727#Trade 2015015 #1610612738.0#Boston Celtics received guard Zoran Dragic from Miami Heat.
/common/topic	Boston Celtics signed forward Amir Johnson to a Contract.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics signed forward Amir Johnson to a Contract. # Transaction_Date: 2015-07-09 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150709#Signing 945036#Boston Celtics signed forward Amir Johnson to a Contract.	20150709#Signing 945036 #1610612738.0#Boston Celtics signed forward Amir Johnson to a Contract.
/common/topic	Boston Celtics signed forward Coty Clarke to a 10-Day Contract.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics signed forward Coty Clarke to a 10-Day Contract. # Transaction_Date: 2016-03-07 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20160307#Signing 972635#Boston Celtics signed forward Coty Clarke to a 10-Day Contract.	20160307#Signing 972635 #1610612738.0#Boston Celtics signed forward Coty Clarke to a 10-Day Contract.
/common/topic	Boston Celtics signed forward Coty Clarke to a 10-Day Contract.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics signed forward Coty Clarke to a 10-Day Contract. # Transaction_Date: 2016-03-17 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20160317#Signing 973049#Boston Celtics signed forward Coty Clarke to a 10-Day Contract.	20160317#Signing 973049 #1610612738.0#Boston Celtics signed forward Coty Clarke to a 10-Day Contract.
/common/topic	Boston Celtics signed forward Malcolm Miller to a Contract.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics signed forward Malcolm Miller to a Contract. # Transaction_Date: 2015-08-06 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150806#Signing 945933#Boston Celtics signed forward Malcolm Miller to a Contract.	20150806#Signing 945933 #1610612738.0#Boston Celtics signed forward Malcolm Miller to a Contract.
/common/topic	Boston Celtics signed guard Corey Walden to a Contract.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics signed guard Corey Walden to a Contract. # Transaction_Date: 2015-08-03 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150803#Signing 945864#Boston Celtics signed guard Corey Walden to a Contract.	20150803#Signing 945864 #1610612738.0#Boston Celtics signed guard Corey Walden to a Contract.
/common/topic	Boston Celtics signed guard John Holland to a Rest-of-Season Contract.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics signed guard John Holland to a Rest-of-Season Contract. # Transaction_Date: 2016-04-11 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20160411#Signing 973683#Boston Celtics signed guard John Holland to a Rest-of-Season Contract.	20160411#Signing 973683 #1610612738.0#Boston Celtics signed guard John Holland to a Rest-of-Season Contract.
/common/topic	Boston Celtics signed guard Levi Randolph to a Contract.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics signed guard Levi Randolph to a Contract. # Transaction_Date: 2015-08-12 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20150812#Signing 945980#Boston Celtics signed guard Levi Randolph to a Contract.	20150812#Signing 945980 #1610612738.0#Boston Celtics signed guard Levi Randolph to a Contract.
/common/topic	Boston Celtics waived forward Coty Clarke.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics waived forward Coty Clarke. # Transaction_Date: 2015-10-20 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20151020#Waive 957661#Boston Celtics waived forward Coty Clarke.	20151020#Waive 957661 #1610612738.0#Boston Celtics waived forward Coty Clarke.
/common/topic	Boston Celtics waived forward David Lee.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics waived forward David Lee. # Transaction_Date: 2016-02-19 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20160219#Waive 972073#Boston Celtics waived forward David Lee.	20160219#Waive 972073 #1610612738.0#Boston Celtics waived forward David Lee.
/common/topic	Boston Celtics waived forward Malcolm Miller.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics waived forward Malcolm Miller. # Transaction_Date: 2015-10-20 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20151020#Waive 957662#Boston Celtics waived forward Malcolm Miller.	20151020#Waive 957662 #1610612738.0#Boston Celtics waived forward Malcolm Miller.
/common/topic	Boston Celtics waived forward Perry Jones III.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics waived forward Perry Jones III. # Transaction_Date: 2015-10-24 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20151024#Waive 957996#Boston Celtics waived forward Perry Jones III.	20151024#Waive 957996 #1610612738.0#Boston Celtics waived forward Perry Jones III.
/common/topic	Boston Celtics waived guard Corey Walden.	http://stats.nba.com/transactions	*Find or create each transaction and curate as per guidelines* Transaction_Description: Boston Celtics waived guard Corey Walden. # Transaction_Date: 2015-10-24 # URL: http://stats.nba.com/transactions	SPLGROSTNba	20151024#Waive 957997#Boston Celtics waived guard Corey Walden.	20151024#Waive 957997 #1610612738.0#Boston Celtics waived guard Corey Walden.
