task_type	task_name	url	description	tag	external_id	external_id_old
/american_football/football_player	Brock Osweiler	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Brock_Osweiler2016-3-11Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Brock Osweiler # Team: houstontexans # Date: 2016-3-11 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Brock_Osweiler2016-3-11Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016311#Brock Osweiler#houstontexans#Unrestricted Free Agent Signing	2016311#Brock Osweiler#houstontexans
/american_football/football_player	Bruce Carter	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Bruce_Carter2016-3-08Terminated,_Vested_Veteran,_all_contracts	*Find or create each transaction and curate as per guidelines* Player Name: Bruce Carter # Team: tampabaybuccaneers # Date: 2016-3-08 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Bruce_Carter2016-3-08Terminated,_Vested_Veteran,_all_contracts	SPLGROSTNfl	2016308#Bruce Carter#tampabaybuccaneers#Terminated, Vested Veteran, all contracts	2016308#Bruce Carter#tampabaybuccaneers
/american_football/football_player	Bruce Irvin	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Bruce_Irvin2016-3-11Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Bruce Irvin # Team: oaklandraiders # Date: 2016-3-11 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Bruce_Irvin2016-3-11Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016311#Bruce Irvin#oaklandraiders#Unrestricted Free Agent Signing	2016311#Bruce Irvin#oaklandraiders
/american_football/football_player	Bryan Anger	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Bryan_Anger2016-3-28Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Bryan Anger # Team: tampabaybuccaneers # Date: 2016-3-28 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Bryan_Anger2016-3-28Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016328#Bryan Anger#tampabaybuccaneers#Unrestricted Free Agent Signing	2016328#Bryan Anger#tampabaybuccaneers
/american_football/football_player	Bryce Harris	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Bryce_Harris2016-3-10Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Bryce Harris # Team: atlantafalcons # Date: 2016-3-10 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Bryce_Harris2016-3-10Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016310#Bryce Harris#atlantafalcons#Unrestricted Free Agent Signing	2016310#Bryce Harris#atlantafalcons
/american_football/football_player	Bryn Renner	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Bryn_Renner2016-3-30Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Bryn Renner # Team: sandiegochargers # Date: 2016-3-30 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Bryn_Renner2016-3-30Free_Agent_Signing	SPLGROSTNfl	2016330#Bryn Renner#sandiegochargers#Free Agent Signing	2016330#Bryn Renner#sandiegochargers
/american_football/football_player	Brynden Trawick	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Brynden_Trawick2016-3-16Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Brynden Trawick # Team: oaklandraiders # Date: 2016-3-16 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Brynden_Trawick2016-3-16Free_Agent_Signing	SPLGROSTNfl	2016316#Brynden Trawick#oaklandraiders#Free Agent Signing	2016316#Brynden Trawick#oaklandraiders
/american_football/football_player	Byron Bell	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Byron_Bell2016-3-18Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Byron Bell # Team: tennesseetitans # Date: 2016-3-18 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Byron_Bell2016-3-18Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016318#Byron Bell#tennesseetitans#Unrestricted Free Agent Signing	2016318#Byron Bell#tennesseetitans
/american_football/football_player	Byron Maxwell	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Byron_Maxwell2016-3-09Traded	*Find or create each transaction and curate as per guidelines* Player Name: Byron Maxwell # Team: miamidolphins # Date: 2016-3-09 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Byron_Maxwell2016-3-09Traded	SPLGROSTNfl	2016309#Byron Maxwell#miamidolphins#Traded	2016309#Byron Maxwell#miamidolphins
/american_football/football_player	CJ Anderson	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#CJ_Anderson2016-3-18First_Refusal_Rights_Exercised	*Find or create each transaction and curate as per guidelines* Player Name: CJ Anderson # Team: denverbroncos # Date: 2016-3-18 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#CJ_Anderson2016-3-18First_Refusal_Rights_Exercised	First Refusal Rights Exercised	2016318#CJ Anderson#denverbroncos#First Refusal Rights Exercised	2016318#CJ Anderson#denverbroncos
/american_football/football_player	Calvin Johnson	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Calvin_Johnson2016-3-08Reserve/Retired	*Find or create each transaction and curate as per guidelines* Player Name: Calvin Johnson # Team: detroitlions # Date: 2016-3-08 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Calvin_Johnson2016-3-08Reserve/Retired	SPLGROSTNfl	2016308#Calvin Johnson#detroitlions#Reserve/Retired	2016308#Calvin Johnson#detroitlions
/american_football/football_player	Casey Hayward	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Casey_Hayward2016-3-15Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Casey Hayward # Team: sandiegochargers # Date: 2016-3-15 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Casey_Hayward2016-3-15Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016315#Casey Hayward#sandiegochargers#Unrestricted Free Agent Signing	2016315#Casey Hayward#sandiegochargers
/american_football/football_player	Cedric Thornton	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Cedric_Thornton2016-3-11Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Cedric Thornton # Team: dallascowboys # Date: 2016-3-11 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Cedric_Thornton2016-3-11Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016311#Cedric Thornton#dallascowboys#Unrestricted Free Agent Signing	2016311#Cedric Thornton#dallascowboys
/american_football/football_player	Chandler Jones	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Chandler_Jones2016-3-15Traded	*Find or create each transaction and curate as per guidelines* Player Name: Chandler Jones # Team: arizonacardinals # Date: 2016-3-15 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Chandler_Jones2016-3-15Traded	SPLGROSTNfl	2016315#Chandler Jones#arizonacardinals#Traded	2016315#Chandler Jones#arizonacardinals
/american_football/football_player	Charcandrick West	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Charcandrick_West2016-3-31Exclusive_Rights_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Charcandrick West # Team: kansascitychiefs # Date: 2016-3-31 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Charcandrick_West2016-3-31Exclusive_Rights_Signing	SPLGROUSNflMar14	2016331#Charcandrick West#kansascitychiefs#Exclusive Rights Signing	2016331#Charcandrick West#kansascitychiefs
/american_football/football_player	Charles Brown	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Charles_Brown2016-3-11Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Charles Brown # Team: dallascowboys # Date: 2016-3-11 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Charles_Brown2016-3-11Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016311#Charles Brown#dallascowboys#Unrestricted Free Agent Signing	2016311#Charles Brown#dallascowboys
/american_football/football_player	Charles Godfrey	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Charles_Godfrey2016-3-15Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Charles Godfrey # Team: atlantafalcons # Date: 2016-3-15 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Charles_Godfrey2016-3-15Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016315#Charles Godfrey#atlantafalcons#Unrestricted Free Agent Signing	2016315#Charles Godfrey#atlantafalcons
