task_type	task_name	url	description	tag	external_id	external_id_old
/american_football/football_player	Donald Stephenson	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Donald_Stephenson2016-3-11Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Donald Stephenson # Team: denverbroncos # Date: 2016-3-11 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Donald_Stephenson2016-3-11Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016311#Donald Stephenson#denverbroncos#Unrestricted Free Agent Signing	2016311#Donald Stephenson#denverbroncos
/american_football/football_player	Donte Foster	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Donte_Foster2016-3-02Waived,_No_Recall	*Find or create each transaction and curate as per guidelines* Player Name: Donte Foster # Team: dallascowboys # Date: 2016-3-02 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Donte_Foster2016-3-02Waived,_No_Recall	SPLGROSTNfl	2016302#Donte Foster#dallascowboys#Waived, No Recall	2016302#Donte Foster#dallascowboys
/american_football/football_player	Dontrelle Inman	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Dontrelle_Inman2016-3-12Exclusive_Rights_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Dontrelle Inman # Team: sandiegochargers # Date: 2016-3-12 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Dontrelle_Inman2016-3-12Exclusive_Rights_Signing	SPLGROUSNflMar14	2016312#Dontrelle Inman#sandiegochargers#Exclusive Rights Signing	2016312#Dontrelle Inman#sandiegochargers
/american_football/football_player	Doug Martin	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Doug_Martin2016-3-11Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Doug Martin # Team: tampabaybuccaneers # Date: 2016-3-11 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Doug_Martin2016-3-11Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016311#Doug Martin#tampabaybuccaneers#Unrestricted Free Agent Signing	2016311#Doug Martin#tampabaybuccaneers
/american_football/football_player	Drew Stanton	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Drew_Stanton2016-3-10Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Drew Stanton # Team: arizonacardinals # Date: 2016-3-10 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Drew_Stanton2016-3-10Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016310#Drew Stanton#arizonacardinals#Unrestricted Free Agent Signing	2016310#Drew Stanton#arizonacardinals
/american_football/football_player	Duke Ihenacho	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Duke_Ihenacho2016-3-09Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Duke Ihenacho # Team: washingtonredskins # Date: 2016-3-09 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Duke_Ihenacho2016-3-09Free_Agent_Signing	SPLGROSTNfl	2016309#Duke Ihenacho#washingtonredskins#Free Agent Signing	2016309#Duke Ihenacho#washingtonredskins
/american_football/football_player	Dwan Edwards	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Dwan_Edwards2016-3-03Terminated,_Vested_Veteran,_all_contracts	*Find or create each transaction and curate as per guidelines* Player Name: Dwan Edwards # Team: carolinapanthers # Date: 2016-3-03 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Dwan_Edwards2016-3-03Terminated,_Vested_Veteran,_all_contracts	SPLGROSTNfl	2016303#Dwan Edwards#carolinapanthers#Terminated, Vested Veteran, all contracts	2016303#Dwan Edwards#carolinapanthers
/american_football/football_player	Dwight Lowery	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Dwight_Lowery2016-3-10Unrestricted_Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Dwight Lowery # Team: sandiegochargers # Date: 2016-3-10 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Dwight_Lowery2016-3-10Unrestricted_Free_Agent_Signing	SPLGROSTNfl	2016310#Dwight Lowery#sandiegochargers#Unrestricted Free Agent Signing	2016310#Dwight Lowery#sandiegochargers
/american_football/football_player	Eddie Pleasant	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Eddie_Pleasant2016-3-09Free_Agent_Signing	*Find or create each transaction and curate as per guidelines* Player Name: Eddie Pleasant # Team: houstontexans # Date: 2016-3-09 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Eddie_Pleasant2016-3-09Free_Agent_Signing	SPLGROSTNfl	2016309#Eddie Pleasant#houstontexans#Free Agent Signing	2016309#Eddie Pleasant#houstontexans
/american_football/football_player	Efe Obada	http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Efe_Obada2016-3-02Waived,_No_Recall	*Find or create each transaction and curate as per guidelines* Player Name: Efe Obada # Team: dallascowboys # Date: 2016-3-02 # URL: http://www.nfl.com/transactions?transactionMonth=3&transactionYear=2016&transactionTeamAbbr=#Efe_Obada2016-3-02Waived,_No_Recall	SPLGROSTNfl	2016302#Efe Obada#dallascowboys#Waived, No Recall	2016302#Efe Obada#dallascowboys
