Task_Type	Description	external_id	note	player	type
/common/topic	*Find or create each transaction and curate as per guidelines* Player Name: Alex Bregman # Team Name: Houston Astros # Type: Assigned # Transaction: Houston Astros invited non-roster SS Alex Bregman to spring training. # Transaction date: 42370	252931#Alex Bregman#Houston Astros#Assigned	Houston Astros invited non-roster SS Alex Bregman to spring training.	Alex Bregman	Assigned
/common/topic	*Find or create each transaction and curate as per guidelines* Player Name: James Hoyt # Team Name: Houston Astros # Type: Assigned # Transaction: Houston Astros invited non-roster RHP James Hoyt to spring training. # Transaction date: 42370	252937#James Hoyt#Houston Astros#Assigned	Houston Astros invited non-roster RHP James Hoyt to spring training.	James Hoyt	Assigned
/common/topic	*Find or create each transaction and curate as per guidelines* Player Name: Roberto Pena # Team Name: Houston Astros # Type: Assigned # Transaction: Houston Astros invited non-roster C Roberto Pena to spring training. # Transaction date: 42370	252943#Roberto Pena#Houston Astros#Assigned	Houston Astros invited non-roster C Roberto Pena to spring training.	Roberto Pena	Assigned
/common/topic	*Find or create each transaction and curate as per guidelines* Player Name: Colin Moran # Team Name: Houston Astros # Type: Assigned # Transaction: Houston Astros invited non-roster 3B Colin Moran to spring training. # Transaction date: 42370	252942#Colin Moran#Houston Astros#Assigned	Houston Astros invited non-roster 3B Colin Moran to spring training.	Colin Moran	Assigned
/common/topic	*Find or create each transaction and curate as per guidelines* Player Name: Jake Buchanan # Team Name: Houston Astros # Type: Assigned # Transaction: Houston Astros invited non-roster RHP Jake Buchanan to spring training. # Transaction date: 42370	252932#Jake Buchanan#Houston Astros#Assigned	Houston Astros invited non-roster RHP Jake Buchanan to spring training.	Jake Buchanan	Assigned
/common/topic	*Find or create each transaction and curate as per guidelines* Player Name: J.D. Davis # Team Name: Houston Astros # Type: Assigned # Transaction: Houston Astros invited non-roster 3B J.D. Davis to spring training. # Transaction date: 42370	252933#J.D. Davis#Houston Astros#Assigned	Houston Astros invited non-roster 3B J.D. Davis to spring training.	J.D. Davis	Assigned
/common/topic	*Find or create each transaction and curate as per guidelines* Player Name: Derek Fisher # Team Name: Houston Astros # Type: Assigned # Transaction: Houston Astros invited non-roster LF Derek Fisher to spring training. # Transaction date: 42370	252935#Derek Fisher#Houston Astros#Assigned	Houston Astros invited non-roster LF Derek Fisher to spring training.	Derek Fisher	Assigned
/common/topic	*Find or create each transaction and curate as per guidelines* Player Name: Joe Sclafani # Team Name: Houston Astros # Type: Assigned # Transaction: Houston Astros invited non-roster 2B Joe Sclafani to spring training. # Transaction date: 42370	252946#Joe Sclafani#Houston Astros#Assigned	Houston Astros invited non-roster 2B Joe Sclafani to spring training.	Joe Sclafani	Assigned
